"2017-06-14 at 11:07"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2017-06-14 11:07:19 707.61 18.76 16.49 52.19 100.37 0.1328 0.1067
2017-06-14 11:07:20 707.62 18.76 16.49 52.19 100.37 0.1328 0.1067
2017-06-14 11:07:21 707.78 18.77 16.49 52.19 100.35 0.1328 0.1067
2017-06-14 11:07:22 707.87 18.77 16.50 52.19 100.35 0.1328 0.1067
2017-06-14 11:07:23 707.78 18.77 16.50 52.19 100.35 0.1328 0.1067
2017-06-14 11:07:24 707.84 18.77 16.50 52.19 100.35 0.1328 0.1067
2017-06-14 11:07:25 707.57 18.77 16.50 52.19 100.37 0.1328 0.1067
2017-06-14 11:07:26 707.85 18.78 16.50 52.19 100.35 0.1328 0.1067
2017-06-14 11:07:27 707.73 18.77 16.50 52.22 100.37 0.1328 0.1067
2017-06-14 11:07:28 707.91 18.78 16.51 52.22 100.35 0.1328 0.1067
2017-06-14 11:07:29 707.86 18.78 16.51 52.22 100.35 0.1328 0.1067
2017-06-14 11:07:30 708.16 18.79 16.51 52.22 100.33 0.1328 0.1067
2017-06-14 11:07:31 708.13 18.79 16.51 52.22 100.33 0.1328 0.1067
2017-06-14 11:07:32 708.09 18.79 16.51 52.22 100.33 0.1328 0.1068
2017-06-14 11:07:33 708.11 18.79 16.52 52.22 100.33 0.1328 0.1068
2017-06-14 11:07:34 708.07 18.80 16.52 52.22 100.33 0.1328 0.1068
2017-06-14 11:07:35 708.08 18.80 16.52 52.22 100.33 0.1328 0.1068
2017-06-14 11:07:36 708.08 18.80 16.52 52.22 100.33 0.1328 0.1068
2017-06-14 11:07:37 708.27 18.80 16.52 52.22 100.31 0.1328 0.1068
2017-06-14 11:07:38 708.29 18.80 16.52 52.22 100.31 0.1328 0.1068
2017-06-14 11:07:39 708.28 18.80 16.52 52.22 100.31 0.1328 0.1068
2017-06-14 11:07:40 708.13 18.80 16.52 52.22 100.33 0.1328 0.1068
2017-06-14 11:07:41 708.11 18.80 16.52 52.22 100.33 0.1328 0.1068
2017-06-14 11:07:42 708.13 18.81 16.53 52.22 100.33 0.1328 0.1068
2017-06-14 11:07:43 708.10 18.81 16.53 52.22 100.33 0.1328 0.1068
2017-06-14 11:07:44 708.12 18.81 16.53 52.22 100.33 0.1328 0.1068
2017-06-14 11:07:45 708.20 18.81 16.53 52.22 100.33 0.1328 0.1068
2017-06-14 11:07:46 708.38 18.82 16.53 52.22 100.31 0.1328 0.1068
2017-06-14 11:07:47 708.23 18.81 16.53 52.22 100.33 0.1328 0.1068
2017-06-14 11:07:48 708.14 18.81 16.53 52.22 100.33 0.1328 0.1068
2017-06-14 11:07:49 708.14 18.81 16.53 52.22 100.33 0.1328 0.1068
2017-06-14 11:07:50 708.11 18.82 16.54 52.22 100.33 0.1328 0.1069
2017-06-14 11:07:51 707.88 18.81 16.54 52.22 100.36 0.1328 0.1069
2017-06-14 11:07:52 708.36 18.83 16.54 52.22 100.31 0.1328 0.1069
2017-06-14 11:07:53 708.03 18.82 16.54 52.22 100.33 0.1328 0.1069
2017-06-14 11:07:54 708.03 18.82 16.54 52.22 100.33 0.1328 0.1069
2017-06-14 11:07:55 707.76 18.82 16.54 52.22 100.36 0.1328 0.1069
2017-06-14 11:07:56 707.68 18.82 16.54 52.22 100.36 0.1328 0.1069
2017-06-14 11:07:57 707.62 18.82 16.54 52.22 100.36 0.1328 0.1069
2017-06-14 11:07:58 707.88 18.83 16.55 52.22 100.33 0.1328 0.1069
2017-06-14 11:07:59 708.23 18.84 16.55 52.22 100.31 0.1328 0.1069
2017-06-14 11:08:00 708.01 18.84 16.55 52.22 100.33 0.1328 0.1069
2017-06-14 11:08:01 708.03 18.84 16.55 52.22 100.33 0.1328 0.1069
2017-06-14 11:08:02 707.73 18.83 16.55 52.22 100.36 0.1328 0.1069
2017-06-14 11:08:03 708.09 18.84 16.55 52.22 100.33 0.1328 0.1069
2017-06-14 11:08:04 708.09 18.84 16.55 52.22 100.33 0.1328 0.1069
2017-06-14 11:08:05 708.06 18.84 16.55 52.22 100.33 0.1328 0.1069
2017-06-14 11:08:06 707.91 18.83 16.55 52.22 100.36 0.1328 0.1069
2017-06-14 11:08:07 708.40 18.85 16.56 52.22 100.31 0.1328 0.1069
2017-06-14 11:08:08 708.41 18.85 16.56 52.22 100.31 0.1328 0.1069
2017-06-14 11:08:09 708.13 18.85 16.56 52.22 100.33 0.1328 0.1070
2017-06-14 11:08:10 708.09 18.85 16.56 52.22 100.33 0.1328 0.1070
2017-06-14 11:08:11 707.76 18.84 16.56 52.22 100.36 0.1328 0.1070
2017-06-14 11:08:12 708.06 18.85 16.56 52.22 100.33 0.1328 0.1070
2017-06-14 11:08:13 707.82 18.85 16.56 52.22 100.36 0.1328 0.1070
2017-06-14 11:08:14 708.03 18.85 16.57 52.22 100.33 0.1328 0.1070
2017-06-14 11:08:15 708.09 18.86 16.57 52.22 100.33 0.1328 0.1070
2017-06-14 11:08:16 708.08 18.86 16.57 52.22 100.33 0.1328 0.1070
2017-06-14 11:08:17 708.07 18.86 16.57 52.22 100.33 0.1328 0.1070
2017-06-14 11:08:18 708.02 18.87 16.58 52.22 100.33 0.1328 0.1070
2017-06-14 11:08:19 707.65 18.86 16.57 52.22 100.37 0.1328 0.1070
2017-06-14 11:08:20 707.88 18.86 16.58 52.22 100.35 0.1328 0.1070
2017-06-14 11:08:21 707.89 18.87 16.58 52.22 100.35 0.1328 0.1071
2017-06-14 11:08:22 707.84 18.87 16.58 52.22 100.35 0.1328 0.1071
