"TOA5","CR1000","CR1000","90275","CR1000.Std.32.02","CPU:lydx_Weather1.CR1","57300","weather"
"TIMESTAMP","RECORD","Batt_volt_Min","PTemp_C_Max","SR_Wpm2_Avg","PAR_umolpm2s_Avg","NR_uncorrect_Wpm2_Avg","NR_correct_Wpm2_Avg","Soil_hf_Wpm2_Avg","RG_mm_Tot","TCAir_C_Avg","RH_Pcent_Avg","WS_mps_Avg","WS_gust_mps","WD_360_Avg","TCSoil_C_Avg","VWC_Avg","Eb_Avg"
"TS","RN","","","","","","","","","","","","","","","",""
"","","Min","Max","Avg","Avg","Avg","Avg","Avg","Tot","Avg","Avg","Avg","Smp","Avg","Avg","Avg","Avg"
"2018-12-14 16:30:00",0,12.84,6.242,28.16,-56.77,-3.978,-3.978,19.54,0,3.148,40.87,"NAN",0,0,0,"NAN","NAN"
"2018-12-14 17:00:00",1,12.86,4.299,17.75,64.06,-3.7,-3.7,56.13,2,1.623,50.8,0.269,0.13,204.1,0.059,-0.006,1.761
"2018-12-14 17:30:00",2,12.88,-0.095,0.713,1.433,-3.044,-3.044,26.31,0,-0.695,71.51,0.195,0.3,254.4,-2.945,-0.017,1.28
"2018-12-14 18:00:00",3,12.87,-3.385,-0.006,-0.018,-2.633,-2.633,29.05,0,-1.993,82.6,0.193,0.12,231.9,-3.443,-0.015,1.331
"2018-12-14 18:30:00",4,12.85,-5.788,-0.002,-0.027,-2.561,-2.561,28.62,0,-2.353,75.71,0.24,0.18,179.2,-4.102,-0.015,1.338
"2018-12-14 19:00:00",5,12.82,-7.35,-0.003,-0.022,-2.491,-2.491,23.57,0,-2.764,86.3,0.234,0.3,223.4,-4.542,-0.015,1.34
"2018-12-14 19:30:00",6,12.82,-8.38,-0.006,-0.014,-2.437,-2.437,24.26,0,-2.916,83.2,0.276,0.32,125,-4.753,-0.015,1.34
"2018-12-14 20:00:00",7,12.8,-9.07,-0.001,-0.012,-2.361,-2.361,24.73,0,-3.489,83.9,0.321,0.34,98.8,-4.962,-0.015,1.341
"2018-12-14 20:30:00",8,12.79,-9.62,-0.003,-0.006,-2.305,-2.305,24.34,0,-3.388,86,0.247,0.27,106.1,-4.953,-0.015,1.345
"2018-12-14 21:00:00",9,12.78,-10.01,-0.007,-0.016,-2.462,-2.462,25.99,0,-3.927,91.5,0.245,0.25,143.6,-5.142,-0.015,1.343
"2018-12-14 21:30:00",10,12.77,-10.33,-0.005,-0.01,-2.303,-2.303,26.39,0,-3.722,88.1,0.21,0.27,144.5,-5.163,-0.015,1.348
"2018-12-14 22:00:00",11,12.76,-10.6,0.002,0,-2.373,-2.373,25.8,0,-4.123,91.2,0.274,0.28,89.8,-5.285,-0.015,1.349
"2018-12-14 22:30:00",12,12.76,-10.88,0,-0.003,-2.149,-2.149,26.06,0,-4.182,90.1,0.275,0.3,57.11,-5.392,-0.015,1.348
